岗位名称,岗位职责,职业代码
资深系统策划、数值策划,工作描述： 设计装备系统 多人BOSS系统 战斗核心 经济数值、角色属性数值 游戏文案 UI原型图,1
高级游戏策划师,工作描述： 在ios与Android平台的一款集卡牌收集、武将养成的半RPG半卡牌游戏&lt;掌上名将&gt;。 负责游戏的系统策划，数值策划，UI设计等。 能力得到周围人的好评。,1
高级游戏策划,在ios与安卓平台的一款集卡牌收集、武将养成的半RPG半卡牌游戏。  负责游戏的系统策划，数值策划，UI设计等。  能力得到周围人的好评。,1
游戏策划师,负责游戏的数值策划，BOSS设定，任务文案，游戏背景、装备技能道具等设定  同时也负责运营相关的内容，如活动内容设定，用户建议的收集等  参与设定的游戏与运营的，“怪物生活”在人人网拥有2W的活跃用户，在QQ平台上线后经过活动帮助，顺利通过审核期，上线一个月就达到了20W的注册用户，并以每天4000的安装量增加。  参与“怪物世界”的运营和活动策划，在日本IPHONE平台上线，位列收费下载的前3名，每月的销售额达到200W人民币。,1
游戏策划、游戏运营,工作描述： 负责游戏的BOSS设定，任务，游戏背景、装备技能道具等设定。 同时也负责运营相关的内容，如活动策划，运营互动等。 参与策划与运营的“怪物生活”在人人网拥有2W的活跃用户，在QQ平台上线后经过活动帮助，顺利通过审核期，上线一个月就达到了20W的注册用户，并以每天4000的安装量增加。 同时还进行“怪物世界”中国版的活动策划和运营活动。,1
游戏测试、游戏评测,"工作描述： 负责冲锋岛,CSO,跑跑卡丁车的测试任务 参与游戏活动的策划 游戏平衡性的评估 新兴游戏代理价值评估和游戏评测",1
软件测试&amp;游戏评测,"工作描述： 负责冲锋岛,CSO,跑跑卡丁车的测试任务  参与游戏活动的策划  游戏平衡性的评估  新兴游戏代理价值评估和游戏评测",1
历任策划专员；策划主管,工作职责： 在洗福莱总部工作期间，多次全程参与了企业的品牌策划和宣传营销工作。  实际参与了公司两个干洗品牌在国内各大媒体（电视台，高铁和航空杂志，竞价推广、UC和今日头条等移动端）的广告投放计划。  多次编撰和更新了企业的品牌画册、招商会务讲演PPT内容；负责公司直营店和1300余家加盟店的营销活动方案；负责公司4个公众号的内容运营工作，网站品牌资讯和优惠政策的更新。  自15年起，一直负责线上品牌洗e客的宣传推广、营销活动、引导用户使用线上洗衣下单以培养其使用习惯，目前洗e客有200万活跃用户（洗衣年卡会员）。  16年下半年开始，负责公司“超级加盟店”城市合伙人的开业众筹方案。,0
企业策划人员,工作描述： 1.主要负责企业品牌的市场调研、战略定位分析、产品线规划、市场营销落地、招商会、展会策划、产品营销实践等工作。 2.各类提案编制，含品牌传播方案、招商渠道方案、媒体投放方案、营销团队方案等，以PPT形式呈现。 3.实际参与了各大知名品牌在国内各媒体（电视台，高铁、航空商务杂志，竞价推广，今日头条、UC等移动端）的广告投放计划。 4.各类文案的撰写，包括软文、硬广、企业文化、团队制度、品牌故事等。 5.优秀案例 【快 消 品】青岛啤酒、娃哈哈-营养快线、蒙牛、伊利-奶片、贝因美等。 【耐 消 品】全友家私、TOTO卫浴、方太厨电、报喜鸟、奇瑞汽车等。 【农业相关】光明-都市菜园电商、史丹利化肥等。 【服 务 业】我厨网、苏宁-云商、吉祥混沌、新华传媒等。,0
任职文案专员和新媒体运营岗,工作职责：  同时担任网站编辑，负责新媒体和网站的内容更新。,1
文案/策划,工作描述： 工作期间，撰写了大量不同风格的品牌和产品文案，积累了丰富的文案创作经验，能独立完成包括企业品牌文案、产品文案、以及各类商务活动方案、市场方案和PPT制作。 同时担任网站编辑，负责新媒体和网站的内容更新。,0
研发第二组组长,工作职责： 到该公司后做新项目动态令牌（OTP）的项目经理，本人负责OTP的硬件和固件研发以及整体方案的设计，同时配有上位机软件人员做OTP的认证系统和硬件工程师做生产OTP的工装设备（注：OTP的生产环节需要高效率的固件下载和“种子密钥”的下载以及测量时钟晶体的偏差值）。到现在为止，不仅OTP和认证系统都通过了国家密码管理局的鉴定并发放了生产许可证书；同时也形成了系列化的产品，比如：点阵屏OTP、USBKey+OTP等。公司原来的产品只有USBKey，现在又增加了OTP，更大地满足了移动网银的需要；在USBKey+OTP的研发中自己也对USBKey有了进一步熟悉。,1
研发部经理,工作描述： 研发部的组建、研发项目的计划、进度的制定、资源的分配以及研发部的日常管理。公司的产品为特殊应用的显示器，显示器控制部分采用FPGA与达芬奇系列视频芯片的组合；在此岗位主要是管理工作和产品化阶段的协调。,1
研发部经理,工作职责： 研发部的组建、研发项目的计划、进度的制定、资源的分配以及研发部的日常管理。公司的产品为特殊应用的显示器，显示器控制部分采用FPGA与达芬奇系列视频芯片的组合；在此岗位主要是管理工作和产品化阶段的协调。 工作业绩： 领导完成8.4寸、10.1寸贯导液晶屏和视频记录功能20.1寸液晶屏的研制工作。,1
技术总监,工作描述： 技术总负责；电子产品的方案及概要设计；组织指导研发队伍（外协）。  公司也是是以点读笔技术发展的，兼做其他电子产品项目，主要研发依靠外协（深圳）。为丽江古城做了一个电子导游项目，历时半年。作为方案的总设计和外协协调人员，在深圳工作4个月。  方案特点：在各个景点放置无线发射器，待游客携带手电子导游持播放器走进接收范围时，播放器自动触发播放当前景点的音视频（讲解景点）。,1
总工程师,工作职责： 负责产品的研发，生产管理。 公司是教育的软件公司，硬件电子产品为点读笔，点读笔是利用光学传感器（CDD）去读纸质印刷品上的特殊点阵编码，然后在预存空间索引获得音频数据，通过扬声器播放出来，多用于外语学习和儿童的语音训练。 工作业绩： 主要产品：点读笔的研发与生产。,1
高级硬件工程师,工作职责： 加油机防作弊系统的编码器及其检测设备的硬件研发。 工作业绩： 加油机防伪编码器系列，无线大型电子称。,1
高级硬件工程师,工作描述： 做单片机研发工作。研制过的产品有手持POS机（收款机）、EM卡读卡器（51系列单片机）、巡更机（TI的430单片机）。软硬件兼顾，使用C语言编程。,1
单片机研发工程师,工作描述： 做单片机研发工作，研制过铁路机车空气弹簧检测设备的电脑控制电路软硬件（飞利浦的51系列单片机）、机车自动化上油的滑油控制器（飞利浦的51系列单片机）、机车信号机检测仪的硬件部分（属于系统集成工控机加板卡）。,1
电子工程师,工作职责： 电路设计以及单片机研发。 工作业绩： 数字式收音机电路、电话防盗报警系统（用的是51系列单片机）、油井遥测遥控系统（51单片机）、桑那浴房的电脑控制电路（PIC系列单片机）。,1
项目负责人,工作描述： 1、全面负责管理区域内物业业务(包括：市场调研、基础业务开展及提升、营业外业务洽谈及开展、项目预算等); 2、参与公司各岗位职责制定、修改及监督执行情况;并对人事任用进行评估； 3、审批所管辖物业装修情况(包括土建、水电、消防安全); 4、负责各类计划的拟定、审核和监督实施情况; 5、处理物业管理中出现紧急事件及重大客户接待；  6、开展项目周边物业服务业务拓展工作； 7、根据部门的工作情况，提出工作建议、管理方案，及完成领导交办的其他工作,0
项目负责人,工作描述： 针对公司综合体项目制定物业管理的相关工作程序及制度并监督实施； 建立并培养专业物业管理队伍； 制定并推广有关物业推介计划；  制定实施维修、清洁、安全检查等方面工作计划和检查执行情况； 重要客户接待、日常人员管理等工作；,0
项目负责人,工作描述： 针对公司综合体项目制定物业管理的相关工作程序及制度并监督实施； 建立并培养专业物业管理队伍； 制定并推广有关物业推介计划；  制定实施维修、清洁、安全检查等方面工作计划和检查执行情况； 重要客户接待、日常人员管理等工作；,0
项目负责人,"工作描述： 1. 制定本部门员工的岗位职责和内部管理制度。2. 每周召开例会 , 进行总结并部署周工作计划。3. 配合公司 “ 贯标 ” 文件工作，编写本部门的操作规程及各类配套表式表单。4、负责协调开发商、建设施工单位、业主、物业之间的维修保驾事宜，5、协助配合业户入场及装饰装修管理，协助项目经理推行“管家式服务”、“一站式服务”等物业服务内容，6、配合当地片警、联防、医保、教育单位在新小区开展和实施工作，处理日常事务等。",0
人才管理部经理（总部）,工作描述： 公司简介：集团目前处于高速发展期，下属4家分/子公司，分别所属不同行业，一家互联网公司，一家培训公司，一家律师事务所，一家影视公司，目前四家公司都集中在深圳地区，内部搭建虚拟集团管控模式，致力于打造国内领先的多元化集团公司。 岗位职责： 1、全面统筹规划人力资源开发及战略管理，根据公司战略要求调整公司组织架构，设定岗位人员编制，制定人力资源规划； 2、搭建与推动执行人力资源体系相关实施计划，如任职资格、岗位评估、职级评定、发展通道等，形成完整的职位任职体系； 3、向公司决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本； 4、牵头公司人才招聘工作，制定招聘计划，甄选管理招聘渠道，优化人才招聘流程，健全人才录用体系、标准，制定招聘管理内控流程，确保团队专业、规范、高效运转； 5、根据公司战略规划，制定和完善公司组织与人才发展方案； 6、梳理岗位序列，建立与之对应的人才管理体系、晋升评估体系，人才平衡体系，建立子公司人才激励和绩效考核体系； 7、负责核心人才的选拔及测评管理， 通过人才盘点、评价中心等手段，维护公司核心人才库； 8、及时处理公司管理过程中的重大人力资源问题，指导员工职业生涯规划。 9、部门管理工作等。 工作业绩： 主要业绩： 理解集团战略发展规划，主导集团管控模式及架构体系建设，形成战略+投资管控模式，以8个一级中心为主导，15个二级部门为支撑的集团总部架构，其中重点主导制定人力资源中心制度、体系、流程、标准，形成规范有序的、能够支撑业务战略发展的，专业化的HR团队。 1、主导搭建集团管控模式建设和组织架构设计，完成总部从0到1的前期搭建工作； 2、根据公司战略发展方向，优化公司管控边界设定，形成杰科集团化管理的规范框架； 3、主导集团人员定编、定岗、定级、定薪工作；  4、搭建集团总部各一级中心核心岗位岗位画像库，建立公司岗位胜任力模型库；  5、主导搭建集团招聘体系，完善录用流程，健全人事标准等人力资源配套制度体系；  6、组建部门团队，建设完成专业化、规范化部门团队；  7、结合下属公司现状，成功在集团导入人力资源三支柱管控模式；  8、梳理，搭建部门管理制度规范，实现部门管理自动化、规范化，高效运作；  9、结合企业现状及未来发展规划，在集团成功导入雇主品牌建设方案，极大的促进了中高层意识形态的重视；  10、负责开发人才测评系统，并在集团及各下属实现成功导入，极大的提高了人才录用的信度和效度；  11、牵头完成高端招聘渠道的甄选，签约，搭建起高端招聘渠道6条，建立起适合集团高速发展的人才网络输送渠道，形成立体化，全方位的高中低层人才输送管道，为集团高速发展提供了有力的人才输送保障； 12、管理部门团队，形成团队管理“能力意愿矩阵”和工作任务“三道口管控”模式方法论，为集团发展提供了可靠、高效的团队人员，有效的保障了集团总部和下属企业战略目标的实现； 13、多年高端人才招聘面试经历，对高端人才招聘甄选有独到的理解和操作实践； 14、主导开展集团人才盘点项目，有效甄别公司核心人员，完善公司核心人才梯队建设。 所获荣誉： 1、首个在全集团层面被公开提出表扬的部门，获得集团最高层领导的一致认可和好评，并嘉奖； 2、公司自实行集团化管控后，资源得到充分的共享，权限划分更强明确，核心流程得到明晰固化，季度业绩平均提升35%； 3、HRBP团队人才招聘邀约到场率从不足7%提高到57%，人才录用率从不足10%提高到25%，基础员工月度流失率降低至15.6%，核心岗位人才流失率降低至12.5%。,0
高级招聘专员（深圳总部）, 工作职责： 1、根据现有编制及业务发展，人员需求，协调、统计各项目、部门的招聘需求，编制年度人员招聘计划； 2、充分了解和掌握各岗位人员编制情况，在编人员情况，缺编情况； 3、建立和完善公司的招聘流程和招聘体系； 4、开展猎头工作，进行网络后台网猎人才，促成面试邀请，进行公司中高层人才招聘储备工作； 5、负责建立并维护网站招聘渠道、院校招聘渠道，拓展符合公司需要的招聘渠道；联系组织现场招聘会； 6、定期或不定期的进行人力资源内外部状况分析及员工需求调查，并进行员工需求分析； 7、负责员工离职谈话、离职手续办理、离职原因分析及问题反馈； 8、负责建立和维护外部人才储备库。 9、利用各类招聘渠道发布招聘广告，开拓招聘渠道； 10、建立后备人才选拔方案和人才储备机制； 11、适时提出工作合理化改进建议； 12、完成领导安排的其他事项。 工作业绩： 1、在公司建立起了完备的中高层人员的胜任素质模型，将公司的人员的招聘达成率调高了40%左右； 2、结合公司中高层人才需求，独立开展猎头工作，一个月为公司落实4位中高端和一名储备人员的招聘工作，极大的节省了公司的人力资源招聘费用； 3、针对公司目前在校园招聘的空白市场，结合公司人员需求状况搭建起了针对深圳总部和下属公司、办事处的校园招聘实施方案； 4、负责制定了公司2015年招聘规划书，其中将公司的整个招聘的前期准备、过程实施、后期效果反馈进行了完整的专业化改革，目前方案已在实施完善中； 5、负责整个招聘组的统筹管理工作，对人才市场招聘和校园招聘进行了系统的梳理，改革，前季度小组业绩部门第一； 6、搭建起了公司的中高端人才梯度储备，对于公司的核心和非核心岗位建立起了“2+1”储备模式； 7、搭建公司的猎头突击队（年前落成）。 8、完成领导安排的其他日常工作。,0
HRBP经理兼招聘主管（总部）,工作描述： 公司简介：集团是香港上市企业，下属4家分公司，分布全国东西南北四大区，旗下拥有近10个品牌，目前全国门店8653家，其中加盟店6859家，直营店1394家，2015年销售总额60多亿，国内市场份额、规模均排名第一，牢牢稳坐贴身衣物行业头把交椅。 岗位职责： 一、招聘工作： 1、根据岗位需求状况和人力资源规划，完善招聘流程及相关配套制度，分析人才需求，制定人才配置计划； 2、策划和实施招聘活动：招聘渠道选择、招聘广告发布、简历甄选、面试组织、背景调查、员工录用等；  3、整合并拓宽招聘渠道，确保公司人才的供给； 4、建立人才库，形成人才地图，定期跟踪人员流动情况；  5、利用人才测评工具（DISC、性格色彩学、九型人格、PDP），为招聘提供科学依据；  6、改进面试方式，提高效率，控制招聘成本；  7、赴武汉、长沙等地参加校园招聘双选会或举办专场校园宣讲会，编写宣讲资料并主持宣讲； 9、负责实施集团下属全资子公司、控股子公司员工配置的集团化管理工作； 10、建立后备人才选拔方案和人才储备机制； 11、完成领导安排的其他工作。   二、HRBP工作： 1、全面负责业务部门招聘及团队组建项目；                2、根据业务人力资源难题，为业务发展提供系统人力资源解决方案； 3、全面负责业务部门绩效考核项目； 4、实施日常员工沟通：如业务中心基础知识导入、新进面谈、关心工程、文化辅导、离职面谈等；  5、定期参加业务部门会议，熟悉业务部门工作操作内容，提出相关HR事宜解决方案； 6、协助公司管理层进行人才管理、团队与文化建设，确保公司文化在所属业务领域的落地。 工作业绩： 主要业绩： 1、完成2016都市丽人“都市·梦飞翔”校园招聘，从对高校的选择，高校老师的拜访，宣传，宣讲，面试等环节都亲身实践，其中应届生面试甄选（一分钟演讲、无领导小组讨论、结构化面试），中国地质大学（武汉）研究生双选会，校园招聘的宣传环节都由自己全面负责，人才甄选效果明显，双选会现场当天人员爆棚； 2、独立出色完成新业务部门（空间设计部，团购管理事业部等）团队的搭建和人员招聘工作； 3、入职半年有效完成从0到40＋个的人员配置，涉及人资、商学院（培训）、市场、设计，团购，店长等职位； 4、紧急招聘时12人/星期，平均招聘周期2个星期，人员流失率控制在10%以内，有部门“招聘快手”称号； 5、团队搭建的“和尚团队+刘关张”理论为业务部门人员发展提供了有力的支撑； 6、建立起公司人员招聘的“1:3”甄选模式，有效的控制了招聘的人选数量，极大的提高了招聘的成功率； 7、根据公司发展战略及人力资源规划，建章立制，搭建团购管理事业部和CL29项目组； 8、为团购管理事业部总监和CL29项目组总监对员工的聘用、晋升、异动等提供人力资源专业意见和建议，同时基于业务发展所需求，对人力资源工作开展与实施提出有针对性的建议。 9、负责全国门店基础人员网络招聘的试点摸索工作，成功为企业1周之内落实12名合适候选人，完成总部门店人员网络招聘的试点探索工作； 10、独立完成所辖新品牌事业部的对外海报设计工作，为企业有效的节约了成本； 11、独立完成全国门店店铺招聘海报设计规范工作，为企业对外建立良好的企业形象奠定了坚实的基础； 12、有效的完成行业标杆企业的人才地图建设工作，为公司人才储备打下坚定的基础。 所获荣誉： 1、用时42天（试用期90天）完成提前转正，72天实现破格涨工资，10个月之内工资连涨2次； 2、取得集团“招聘管理最能手”之称。,0
招聘及专技管理员（总部）, 工作职责： 1、负责组织各单位岗位分析工作，在此基础上做好人员的定岗、定编；并根据公司的发展状况组织编制人力资源配置规划； 2、负责制定、完善公司员工配置制度并督促实施； 3、负责与财务部门一起编制招聘费用预算； 4、负责建立并维护网站招聘渠道、院校招聘渠道，拓展符合公司需要的招聘渠道；联系组织现场招聘会； 5、负责策划年度院校招聘、实习生招聘方案并组织实施； 6、负责组织实施社会招聘、中高级人才招聘及公司内部招聘工作； 7、协助办理新员工上岗、新员工转正手续及员工调动手续； 8、负责员工离职谈话、离职手续办理、离职原因分析及问题反馈； 9、负责建立和维护外部人才储备库； 10、负责编制招聘配置、人员离职人事报表； 11、协助建立人力资源信息系统； 12、负责实施集团下属全资子公司、控股子公司员工配置的集团化管理工作； 13、完成上级领导临时交办的工作。 工作业绩： 1、出色的完成了集团人才的招聘工作，包括通过网络后台进行网猎简历，简历筛选，电话预约面试，安排现场面试的具体事项，作为主面试官主持对面试者的初面及面试后续工作的处理等； 2、通过网络后台进行网猎人才，开展猎头工作贯穿于工作的始终，并取得了显著的招聘效果； 3、在集团已有的招聘渠道的基础上，根据公司未来发展对人才的需求，及时为公司开拓扩宽了人才网络招聘渠道，并强化了集团与已有招聘渠道的合作关系，使公司额外的享受到了一些套餐服务；? 4、完善了集团的招聘工具，开拓性的完成了针对整个集团的面试工具的制作； 5、完成了集团2015年应届毕业生的校招实施方案； 6、负责起草了集团总部部门内部的培训方案，以及整个培训方案的落地执行工作； 7、建立了针对公司前台岗位职能人员的绩效考核系统即：KPI+关键事件法+行为观察量表法为一体的全方位绩效考核系统方案； 8、负责公司新入职员工的劳动合同的签订、履行、变更、解除、终止以及相关劳动人事法律风险的规避等一系列员工劳动关系问题； 9、完成公司人力资源的其他日常相关工作。,0
招聘及专技管理员（总部）,工作描述： 公司简介：公司系中国南方电网系统下属第二大三产集团公司，集团下属45家分子公司，全面负责广东佛山区整个电力系统的电网维护，电力配送，电力工程，用户工程，电力科技等电力系统一条线的电力服务，为维护地方电力稳定，民生安定，经济发展提供有力的保障。 岗位职责： 1、协助组织各单位岗位分析工作，在此基础上做好人员的定岗、定编；并根据公司的发展状况组织编制人力资源配置规划；  2、负责制定、完善公司员工配置制度并督促实施；  3、负责建立并维护网站招聘渠道、院校招聘渠道，拓展符合公司需要的招聘渠道；联系组织现场招聘会； 4、负责策划年度院校招聘、实习生招聘方案并组织实施；  5、负责组织实施社会招聘、中高级人才招聘及公司内部推荐工作；  6、负责员工离职谈话、离职手续办理、离职原因分析及问题反馈；  7、负责建立和维护外部人才储备库； 8、协助建立人力资源信息系统；  9、负责完成各类人力资源数据报告工作。 工作业绩： 主要业绩： 1、出色的完成了集团人才的招聘工作，包括通过网络后台进行网猎简历，简历筛选，电话预约面试，安排现场面试的具体事项，作为主面试官主持对面试者的初面及面试后续工作的处理等； 2、通过网络后台进行网猎人才，开展猎头工作贯穿于工作的始终，并取得了显著的招聘效果； 3、在集团已有的招聘渠道的基础上，根据公司未来发展对人才的需求，及时为公司开拓扩宽了人才网络招聘渠道，并强化了集团与已有招聘渠道的合作关系，使公司额外的享受到了一些套餐服务； 4、完善了集团的招聘工具，开拓性的完成了针对整个集团的面试工具的制作； 5、完成了集团2015年应届毕业生的校招实施方案； 6、负责起草了集团总部部门内部的培训方案，以及整个培训方案的落地执行工作； 7、建立了针对公司前台岗位职能人员的绩效考核系统即：KPI+关键事件法+行为观察量表法为一体的全方 位绩效考核系统方案； 8、负责公司新入职员工的劳动合同的签订、履行、变更、解除、终止以及相关劳动人事法律风险的规避等一系列员工劳动关系问题。,0
测试工程师,工作职责：                                     1. 参与软件产品开发前的需求分析，根据需求制定测试计划 2. 对青蚨资产管理集团旗下产品进行测试 3. 使用禅道进行bug管理和项目进度管理 4. 搭建性能测试环境，使用loadrunner进行性能测试，分析测试结果，协助开发团队进行系统调优 5. 定义上线流程、组织各部门完成项目上线 6上线后跟进客服反馈问题，协调开发修改 7. 完成与本职位相关的其他工作,1
测试工程师,工作描述： 1. 参与软件产品开发前的需求分析，根据需求制定测试计划 2. 对青蚨资产管理集团旗下产品进行测试 3. 使用禅道进行bug管理和项目进度管理 4. 搭建性能测试环境，使用loadrunner进行性能测试，分析测试结果，协助开发团队进行系统调优 5. 定义上线流程、组织各部门完成项目上线 6上线后跟进客服反馈问题，协调开发修改 7. 完成与本职位相关的其他工作,1
质量管理/测试工程师,工作职责：                                     1. 参与软件产品开发前的需求分析，根据需求制定测试计划  3. 使用BUGZilla进行bug管理和项目进度管理 4.根据评审结果后的需求进行用例编写 5. 进行3轮测试后无问题后发送测试通过邮件 6.完成与本职位相关的其他工作,1
测试工程师,工作描述： 1.需求外审，了解新增模块需求，三方探讨新增需求的重要性以及优先级 2.开发实现讲解，了解开发的实现逻辑及产品需求逻辑，方便找出隐性BUG 3.用例编写，编写过程中找出之前讲解中未发现的问题，及时与产品、开发沟通修改 4.用例评审及头脑风暴，会议中讲解自己用例让他人了解及了解他人用例，过程中易发现他人模块中未发现的BUG 5.用例执行及BUG提交，执行用例过程中尽量找到必现步骤后提交BUG，原则不放过任何一个小的BUG，开发修复后进行BUG验证及延伸测试，使用缺陷管理工具关闭BUG。 6.上线前check list主要路径，避免上现后主入口故障 7.完成与本职位相关的其他工作,1
高级软件工程师,"工作描述： 1 负责各系统数据分析，数据调研，业务梳理和沟通 2 负责QDM、SAP、EIP等系统接口测试和实现 3 搭建数据仓库，数据中心建模，数据挖掘,ETL 4 负责CUBE设计和数据流图整理，主数据规范 5 培训新人，HANA学习掌握",1
高级软件工程师,"工作描述： 1.分析数据的层次结构,处理保险系统CICAP和IPMI海量数据，将其存储于数据仓库,利用朴素贝叶斯、决策树算法、二分法等研究其关系,根据业务需求实行数据中心建设和构建模型. 2.参与GTS银行交易系统开发和维护,为产品开发新功能;提供项目调研、数据分析,模块代码设计,开发和测试. 3.熟练掌握银行、保险等业务,完成财务ANP开发并上线,负责处理海量数据和模拟业务场景设计算法. 4. 掌握SSIS\SSAS\SSRS开发，基于数据库,实现存储过程和函数性能调优，负责Sybase, VB, java, C/C++和SQL Server代码开发与审核. 5.曾出差到HK参与客户业务分析, 负责与客户沟通需求,高质量完成产品客制化需求.",1
ASE,"工作描述： 1掌握SSIS\SSAS\SSRS开发,处理大型银行和保险系统的海量数据，熟悉业务和数据挖掘算法 2 T-SQL/PL-SQL性能调优,C/C++,VB,C#,JavaScript/CSS开发 3分析数据的层次结构,处理保险系统CICAP和IPMI海量数据，将其存储于数据仓库,利用朴素贝叶斯、决策树算法、二分法等研究其关系,根据业务需求实行数据中心建设和构建模型. 4参与GTS银行交易系统开发和维护,为产品开发新功能;提供项目调研、数据分析,模块代码设计,开发和测试. 5熟练掌握银行、保险等业务，完成财务ANP系统开发并上线,负责处理海量数据和模拟业务场景设计适宜的算法. 6曾出差到HK参与客户业务分析, 负责与客户沟通需求,高质量完成产品客制化需求.",1
软件工程师,"工作描述： 1.PMIS财务系统开发,管理,支持. 2.掌握项目管理流程和方法,负责IT部门的apple PM项目规划,设计和管理,推动项目高质量完成. 3.掌握SSRS,SSAS,基于SQL Server进行建模,数据仓库,负责BI系统(PMIS,BMO)开发及实施和用户手册制作.  4.熟悉Oracle, SQL数据库,C#和JavaScript/HTML开发,负责数据库审计和储存过程优化. 5.负责根据客户需求进行企业项目管理系统项目研发,模块设计,数据分析,代码开发和测试.  6.独立负责并完成项目分析管理、跟踪,及时有效解决生产环境出现的异常,安排工作进程.",1
软件工程师,"工作描述： 1.掌握项目管理流程和方法,负责IT部门的apple PM项目规划,设计和管理,推动项目高质量完成. 2.掌握SSRS,SSAS技术且基于SQL Server进行建模,数据仓库,负责BI系统(PMIS,BMO)开发及实施和用户手册制作.  3.熟悉Oracle, SQL数据库,C#和JavaScript/HTML开发,负责数据库审计和储存过程优化. 4.负责根据客户需求进行企业项目管理系统项目研发,模块设计,数据分析,代码开发和测试.  5.独立负责并完成项目分析管理、跟踪，负责与客户进行需求沟通，安排工作进程，负责项目整体架构设计、流程规划，参与项目开发、IT&amp;UAT测试和上线,撰写设计文档和需求规格书.",1
Java初级开发工程师,工作描述： 基于Linux/Windows系统的Java软件学习和项目开发。深入了解Java语言，完成公司布置的项目实战。 对企业软件开发流程和应用等相关知识有一定了解，提高自身技术、逻辑思维能力和团队协作能力。,1
高级工程师,工作描述： 工作职责： 任职期间主要负责apple项和samsung项的液晶面板部分 1.带领团队负责新机种及自动化设备导入，设备硬件软件调试，编写SOP及人员上岗培训。 2.代表部门参加CIP周会，提出生产力和良率改善方案，协调各相关部门推进项目。 工作业绩： 完成公司自动化生产线转型项目，生产效率提升；年度KPI达标，部门评为优秀部门。,1
